LOCATION_CODE,MAT_CODE,PRODUCT_SUBTYPE,TRADE_PRODUCT_BRAND,TRADE_PRODUCT_MODEL,COLOR,PRODUCT_NAME,REQ_DATE,LUNCH_DATE,START_DATE,END_DATE,sum_lambda,FORECAST_SALE_AMT,SALE_AMT,STOCK_ON_HAND_AMT
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2019-12-02,2019-10-11,2019-12-03,2019-12-09,6.6478,3,14,17
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2019-12-05,2019-10-11,2019-12-06,2019-12-15,9.6261,7,11,5
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2019-12-09,2019-10-11,2019-12-10,2019-12-16,6.772399999999999,11,7,0
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2019-12-12,2019-10-11,2019-12-13,2019-12-22,9.8066,15,14,11
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2019-12-16,2019-10-11,2019-12-17,2019-12-23,6.8994,14,10,3
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2019-12-19,2019-10-11,2019-12-20,2019-12-29,9.9905,19,18,10
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2019-12-23,2019-10-11,2019-12-24,2019-12-30,7.0287,16,15,13
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2019-12-26,2019-10-11,2019-12-27,2020-01-05,10.1777,12,21,17
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2019-12-30,2019-10-11,2019-12-31,2020-01-06,7.160399999999999,10,12,10
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2020-01-02,2019-10-11,2020-01-03,2020-01-12,10.3682,14,12,4
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2020-01-06,2019-10-11,2020-01-07,2020-01-13,7.2945,9,7,4
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2020-01-09,2019-10-11,2020-01-10,2020-01-19,10.5626,19,13,5
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2020-01-13,2019-10-11,2020-01-14,2020-01-20,7.431299999999999,15,10,8
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2020-01-16,2019-10-11,2020-01-17,2020-01-26,10.7606,17,8,6
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2020-01-20,2019-10-11,2020-01-21,2020-01-27,7.5705,13,2,9
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2020-01-23,2019-10-11,2020-01-24,2020-02-02,10.9621,17,9,15
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2020-01-27,2019-10-11,2020-01-28,2020-02-03,7.7123,12,12,15
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2020-01-30,2019-10-11,2020-01-31,2020-02-09,11.1678,13,15,13
1101,NEW0AP00111-BK01,HANDSET,APPLE,IPHONE1164,BLACK,IPHONE 11 64GB,2020-02-03,2019-10-11,2020-02-04,2020-02-10,7.857,1,9,6
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2019-12-02,2019-10-11,2019-12-03,2019-12-09,4.2424,3,6,1
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2019-12-05,2019-10-11,2019-12-06,2019-12-15,6.1431,7,7,1
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2019-12-09,2019-10-11,2019-12-10,2019-12-16,4.321899999999999,6,5,12
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2019-12-12,2019-10-11,2019-12-13,2019-12-22,6.0349,8,8,15
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2019-12-16,2019-10-11,2019-12-17,2019-12-23,4.4029,9,5,15
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2019-12-19,2019-10-11,2019-12-20,2019-12-29,6.375500000000001,11,7,21
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2019-12-23,2019-10-11,2019-12-24,2019-12-30,4.4856,9,3,18
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2019-12-26,2019-10-11,2019-12-27,2020-01-05,6.263199999999999,8,5,17
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2019-12-30,2019-10-11,2019-12-31,2020-01-06,4.569599999999999,7,5,15
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2020-01-02,2019-10-11,2020-01-03,2020-01-12,6.6167,11,2,10
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2020-01-06,2019-10-11,2020-01-07,2020-01-13,4.6552,6,1,16
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2020-01-09,2019-10-11,2020-01-10,2020-01-19,6.7408,15,5,15
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2020-01-13,2019-10-11,2020-01-14,2020-01-20,4.7424,11,6,14
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2020-01-16,2019-10-11,2020-01-17,2020-01-26,6.8672,14,10,12
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2020-01-20,2019-10-11,2020-01-21,2020-01-27,4.8313,11,6,10
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2020-01-23,2019-10-11,2020-01-24,2020-02-02,6.7461,14,6,12
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2020-01-27,2019-10-11,2020-01-28,2020-02-03,4.922,9,2,6
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2020-01-30,2019-10-11,2020-01-31,2020-02-09,7.127300000000001,9,6,13
1101,NEW0AP00111-GN01,HANDSET,APPLE,IPHONE1164,GREEN,IPHONE 11 64GB,2020-02-03,2019-10-11,2020-02-04,2020-02-10,5.0143,1,6,12
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2019-12-02,2019-10-11,2019-12-03,2019-12-09,4.0438,3,9,3
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2019-12-05,2019-10-11,2019-12-06,2019-12-15,5.8553999999999995,7,13,0
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2019-12-09,2019-10-11,2019-12-10,2019-12-16,3.9724,8,8,13
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2019-12-12,2019-10-11,2019-12-13,2019-12-22,5.965199999999999,11,14,10
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2019-12-16,2019-10-11,2019-12-17,2019-12-23,4.1967,10,9,14
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2019-12-19,2019-10-11,2019-12-20,2019-12-29,6.076899999999999,14,12,19
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2019-12-23,2019-10-11,2019-12-24,2019-12-30,4.275399999999999,11,5,18
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2019-12-26,2019-10-11,2019-12-27,2020-01-05,5.9696,9,10,24
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2019-12-30,2019-10-11,2019-12-31,2020-01-06,4.2,7,7,20
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2020-01-02,2019-10-11,2020-01-03,2020-01-12,6.306900000000001,11,7,16
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2020-01-06,2019-10-11,2020-01-07,2020-01-13,4.4371,7,7,16
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2020-01-09,2019-10-11,2020-01-10,2020-01-19,6.4251,14,12,16
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2020-01-13,2019-10-11,2020-01-14,2020-01-20,4.5203,11,6,12
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2020-01-16,2019-10-11,2020-01-17,2020-01-26,6.5455,11,6,9
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2020-01-20,2019-10-11,2020-01-21,2020-01-27,4.6051,8,3,12
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2020-01-23,2019-10-11,2020-01-24,2020-02-02,6.6682999999999995,11,5,14
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2020-01-27,2019-10-11,2020-01-28,2020-02-03,4.6913,8,4,11
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2020-01-30,2019-10-11,2020-01-31,2020-02-09,6.5504999999999995,9,7,9
1101,NEW0AP00111-PP01,HANDSET,APPLE,IPHONE1164,PURPLE,IPHONE 11 64GB,2020-02-03,2019-10-11,2020-02-04,2020-02-10,4.7793,1,7,7
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2019-12-02,2019-10-11,2019-12-03,2019-12-09,1.9523,3,3,2
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2019-12-05,2019-10-11,2019-12-06,2019-12-15,2.7262,7,6,0
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2019-12-09,2019-10-11,2019-12-10,2019-12-16,1.9889999999999999,4,4,7
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2019-12-12,2019-10-11,2019-12-13,2019-12-22,2.7772,6,6,4
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2019-12-16,2019-10-11,2019-12-17,2019-12-23,2.0261,6,5,8
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2019-12-19,2019-10-11,2019-12-20,2019-12-29,2.9339,7,3,8
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2019-12-23,2019-10-11,2019-12-24,2019-12-30,1.9905,6,1,8
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2019-12-26,2019-10-11,2019-12-27,2020-01-05,2.9888,4,4,13
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2019-12-30,2019-10-11,2019-12-31,2020-01-06,2.0278,3,4,13
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2020-01-02,2019-10-11,2020-01-03,2020-01-12,3.0448,4,3,11
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2020-01-06,2019-10-11,2020-01-07,2020-01-13,2.1422,3,2,9
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2020-01-09,2019-10-11,2020-01-10,2020-01-19,3.102,6,4,9
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2020-01-13,2019-10-11,2020-01-14,2020-01-20,2.1044,5,3,7
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2020-01-16,2019-10-11,2020-01-17,2020-01-26,3.1601999999999997,6,6,6
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2020-01-20,2019-10-11,2020-01-21,2020-01-27,2.144,5,5,7
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2020-01-23,2019-10-11,2020-01-24,2020-02-02,3.1045000000000003,6,7,4
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2020-01-27,2019-10-11,2020-01-28,2020-02-03,2.265,4,4,5
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2020-01-30,2019-10-11,2020-01-31,2020-02-09,3.2797,5,5,5
1101,NEW0AP00111-RD01,HANDSET,APPLE,IPHONE1164,RED,IPHONE 11 64GB,2020-02-03,2019-10-11,2020-02-04,2020-02-10,2.3073,1,2,2
1101,NEW0AP00111-WH01,HANDSET,APPLE,IPHONE1164,WHITE,IPHONE 11 64GB,2019-12-02,2019-10-11,2019-12-03,2019-12-09,0.0904,3,0,0
1101,NEW0AP00111-WH01,HANDSET,APPLE,IPHONE1164,WHITE,IPHONE 11 64GB,2019-12-05,2019-10-11,2019-12-06,2019-12-15,1.0956,7,3,0
